Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
acsacsar-ams-ipv4,acsacsar-ams-ipv4,"Public non-censoring, non-logging, DNSSEC-capable, DNSCrypt-enabled DNS resolver hosted on Scaleway by @acsacsar (twitter)",None,,https://dns.d0wn.biz,1,,yes,no,51.158.166.97,none,none,none
acsacsar-ams-ipv6,acsacsar-ams-ipv6,"Public non-censoring, non-logging, DNSSEC-capable, DNSCrypt-enabled DNS resolver hosted on Scaleway by @acsacsar (twitter)",None,,https://dns.d0wn.biz,1,,yes,no,[2001:bc8:1824:738::1],none,none,none
adguard-dns,adguard-dns,Remove ads and protect your computer from malware,None,,https://dns.d0wn.biz,1,,yes,no,94.140.14.14:5443,none,none,none
adguard-dns-family,adguard-dns-family,Adguard DNS with safesearch and adult content blocking,None,,https://dns.d0wn.biz,1,,yes,no,94.140.14.15:5443,none,none,none
adguard-dns-family-ipv6,adguard-dns-family-ipv6,Adguard DNS with safesearch and adult content blocking,None,,https://dns.d0wn.biz,1,,yes,no,[2a10:50c0::bad1:ff]:5443,none,none,none
adguard-dns-family-ns1,Adguard DNS Family Protection 1,Adguard DNS with safesearch and adult content blocking,Anycast,,https://adguard.com/en/adguard-dns/overview.html,1,no,yes,no,176.103.130.132:5443,2.dnscrypt.family.ns1.adguard.com,B831:5DD7:B14B:6EE3:20A4:70DC:2ED6:B1AA:398C:C9E5:86F8:5D45:45D6:B8C9:B500:5ABA,pk.family.ns1.adguard.com
adguard-dns-family-ns2,Adguard DNS Family Protection 2,Adguard DNS with safesearch and adult content blocking,Anycast,,https://adguard.com/en/adguard-dns/overview.html,1,no,yes,no,176.103.130.134:5443,2.dnscrypt.family.ns2.adguard.com,8C21:17A9:EBC1:57D6:FB64:056F:0ADB:C11C:5D83:6734:73C4:6E25:8D9B:2F57:D4EE:351F,pk.family.ns2.adguard.com
adguard-dns-ipv6,adguard-dns-ipv6,Remove ads and protect your computer from malware,None,,https://dns.d0wn.biz,1,,yes,no,[2a10:50c0::ad1:ff]:5443,none,none,none
adguard-dns-ns1,Adguard DNS 1,Remove ads and protect your computer from malware,Anycast,,https://adguard.com/en/adguard-dns/overview.html,1,no,yes,no,176.103.130.130:5443,2.dnscrypt.default.ns1.adguard.com,D12B:47F2:52DC:F2C2:BBF8:9910:86EA:F79C:E449:5D8B:16C8:A0C4:322E:52CA:3F39:0873,pk.default.ns1.adguard.com
adguard-dns-ns2,Adguard DNS 2,Remove ads and protect your computer from malware,Anycast,,https://adguard.com/en/adguard-dns/overview.html,1,no,yes,no,176.103.130.131:5443,2.dnscrypt.default.ns2.adguard.com,81D0:02D3:6A4C:A50C:473B:7479:650F:E12E:02B3:21CB:6138:562A:208E:403D:FDC5:5E94,pk.default.ns2.adguard.com
adguard-dns-unfiltered,adguard-dns-unfiltered,AdGuard public DNS servers without filters,None,,https://dns.d0wn.biz,1,,yes,no,94.140.14.140:5443,none,none,none
adguard-dns-unfiltered-ipv6,adguard-dns-unfiltered-ipv6,AdGuard public DNS servers without filters,None,,https://dns.d0wn.biz,1,,yes,no,[2a10:50c0::1:ff]:5443,none,none,none
altername,altername,"Protocol: DNSCrypt | Features: Non-logging, Non-filtering, DNSSEC, EmerDNS | Location: Moscow, Russia",None,,https://dns.d0wn.biz,1,,yes,no,185.204.2.8:8443,none,none,none
altername-ipv6,altername-ipv6,"Protocol: DNSCrypt IPv6 | Features: Non-logging, Non-filtering, DNSSEC, EmerDNS | Location: Moscow, Russia",None,,https://dns.d0wn.biz,1,,yes,no,[2a04:5200:fff4::13ff]:8443,none,none,none
ams-dnscrypt-nl,ams-dnscrypt-nl,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",None,,https://dns.d0wn.biz,1,,yes,no,51.15.124.208,none,none,none
ams-dnscrypt-nl-ipv6,ams-dnscrypt-nl-ipv6,"Resolver in Amsterdam. Dnscrypt protocol. Non-logging, non-filtering, DNSSEC.",None,,https://dns.d0wn.biz,1,,yes,no,[2001:bc8:1830:2018::1],none,none,none
bcn-dnscrypt,bcn-dnscrypt,"Resolver in Barcelona, Spain. DNSCrypt protocol. Non-logging, non-filtering, DNSSEC.",None,,https://dns.d0wn.biz,1,,yes,no,185.253.154.66,none,none,none
bikinhappy-sg,BikinHappy Singapore,provided by bikinhappy.com,Singapore,,http://dns.bikinhappy.com,1,yes,yes,no,172.104.46.253:443,2.dnscrypt-cert.dns.bikinhappy.com,7167:91A0:745E:17ED:1E73:D426:C697:E8DF:EE4B:476B:149F:8449:62DD:4615:BD71:5C70,
bn-fr0,Babylon Network France 0,"Non-logging, uncensored DNS resolver provided by Babylon Network","Roubaix, France",,https://babylon.network,1,no,yes,no,5.135.66.222:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.fr0.dnscrypt.babylon.network
bn-fr0-ipv6,Babylon Network France 0 (IPv6),"Non-logging, uncensored IPv6 DNS resolver provided by Babylon Network","Roubaix, France",,https://babylon.network,1,no,yes,no,[2001:41d0:8:4480::222]:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.fr0.dnscrypt.babylon.network
bn-fr1,Babylon Network France 1,"Non-logging, uncensored DNS resolver provided by Babylon Network","Roubaix, France",,https://babylon.network,1,no,yes,no,164.132.130.171:5353,2.dnscrypt-cert.babylon.network,8794:070A:143D:35CA:1CA6:32E7:B189:3028:4EAE:5DAF:EBB4:01E3:DF52:E9F0:37AB:D182,pk.fr1.dnscrypt.babylon.network
